#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server."
,xdg-user-dirs,"sets up folders."
,xorg-xinit,"starts the graphical server."
,noto-fonts,"provides the English fonts for NARBS."
,noto-fonts-cjk,"provides the Japanese for NARBS."
,noto-fonts-extra, "provides extra fonts for NARBS."
A,ttf-joypixels,"is an emoji font."
A,lf-git,"is an extensive terminal file manager that everyone likes."
,dosfstools,"allows your computer to access dos-like filesystems."
,exfat-utils,"allows management of FAT drives."
,ntfs-3g,"allows accessing NTFS partitions."
A,simple-mtpfs,"enables the mounting of cell phones."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
A,nsxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,neovim,"a tidier vim with some useful features"
,mpv,"is the patrician's choice video player."
A,brave-bin,"is an elegant browser with built-in adblocking, tor and other features."
,pipewire,"is the audio system."
,pipewire-pulse,"gives pipewire compatibility with PulseAudio programs."
,pulsemixer,"is an audio controller."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
,scrot,"can take quick screenshots at your request."
,unclutter,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,w3m,"is a terminal browser."
,xclip,"allows for copying and pasting from the command line."
A,yt-dlp-drop-in,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,fzf,"is a fuzzy finder tool."
,htop,"is a graphical and colorful system monitor."
,moreutils,"is a collection of useful unix tools."
,bspwm,"is a window manager."
,sxhkd,"is a keybinding manager."
,alacritty,"is a terminal."
A,polybar-git,"is a system bar."
A,picom-jonaburg-fix,"is for transparency and removing screen-tearing."
A,neovim-plug,"is a plugin manager for neovim."
,zsh,"is a fancy shell."
A,oh-my-zsh,"is a plugin manager for zsh."
,rofi,"is a menu system."
